Defect_ID,Section_ID,Station1,Station2,Chainage_KM,Zone,Division,Asset_Type,Defect_Type,Severity_Level,Detection_Method,Power_Supply_Type,Interlocking_Type,Communication_Link_Status,Reported_Date,Date_to_Start_work,Date_to_End_work,Work_Due_Date,Work_Overall_Duration,Work_Duration_Per_Day,Overdue_Days,Asset_Age_Years,Last_Maintenance_Date,Maintenance_Frequency_Days,Historical_Failure_Count,Section_Traffic_Density,Corridor_Criticality,Available_Block_Window_Hours,Overlapping_TRD_Request,Overlapping_Engineering_Request,Joint_Block_Feasibility_Score,Task_Urgency_Tier,Planning_Horizon,Recommended_Block_Duration_Hours,Block_Conflict_Type,Joint_Block_Recommendation,Priority_Score,Predicted_Resolution_Time_Hours,Risk_If_Delayed,Confidence_Score
SMMS00011,UBCGZ-XJTS,UBCGZ,XJTS,66.83,South Eastern Railway,Ranchi,Point Machine,Point Machine Failure,High,Signal Failure Alarm,AC (25kV Signalling),EI,Normal,20-07-2025,04-09-2026,05-09-2026,07-09-2026,5.3,4.5,30,17.5,09-03-2026,15,5,23,Trunk,6.89,False,True,68.4,This Week,Weekly,4.5,No_Overlap,Yes,67.0,5.3,62.8,0.85
SMMS00012,VIKU-MKBWD,VIKU,MKBWD,95.64,Western Railway,Vadodara,Signal Cable/Data Logger,Power Supply Fault,High,Visual Inspection,AC (25kV Signalling),RRI,Normal,12-07-2026,13-09-2026,14-09-2026,16-09-2026,5.7,5.2,30,1.2,27-08-2026,30,0,16,Branch,2.83,False,True,68.2,This Month,Monthly,5.2,Same_Division_Overlap,Yes,48.5,5.7,50.9,0.6
SMMS00013,QK-YFSG,QK,YFSG,32.81,Western Railway,Vadodara,Signal Cable/Data Logger,Data Logger Fault,High,Signal Failure Alarm,DC,RRI,Normal,10-05-2026,09-09-2026,10-09-2026,12-09-2026,6.8,5.9,30,19.6,12-03-2026,15,3,12,Branch,1.99,False,False,41.4,This Month,Monthly,5.9,Same_Division_Overlap,No,54.9,6.8,68.9,0.83
SMMS00014,FVOY-EUWE,FVOY,EUWE,51.79,Eastern Railway,Sealdah,Block Instrument,Token Fault,Low,Signal Failure Alarm,IPS (Integrated Power Supply),RRI,Normal,14-12-2025,06-09-2026,06-09-2026,11-09-2026,3.7,4.9,90,3.3,01-05-2026,90,0,6,Branch,2.75,False,False,32.1,This Month,Monthly,4.9,No_Overlap,No,37.6,3.7,37.1,0.67
SMMS00015,RB-AJC,RB,AJC,31.82,Western Railway,Rajkot,Relay Interlocking,Cable Fault,High,Visual Inspection,DC,EI,Normal,10-03-2026,16-09-2026,16-09-2026,18-09-2026,5.5,6.6,30,23.6,19-07-2026,30,2,1,Branch,11.08,True,False,62.1,This Month,Monthly,6.6,No_Overlap,Yes,51.9,5.5,44.8,0.73
SMMS00016,FCZWV-VV,FCZWV,VV,4.56,Northern Railway,Delhi,Level Crossing Interlocking,LC Gate Interlocking Fault,Low,Datalogger Analysis,DC,PI,Normal,27-08-2025,13-09-2026,13-09-2026,18-09-2026,3.5,4.7,90,20.6,26-06-2026,30,2,24,Trunk,14.86,False,True,56.6,This Week,Weekly,4.7,No_Overlap,Yes,58.4,3.5,45.9,0.86
SMMS00017,PTXVC-BA,PTXVC,BA,55.1,Eastern Railway,Howrah,Relay Interlocking,Interlocking Logic Fault,Medium,Datalogger Analysis,AC (25kV Signalling),RRI,Normal,03-01-2026,05-09-2026,06-09-2026,09-09-2026,6.8,5.8,60,3.9,09-08-2025,15,1,16,Branch,16.84,True,False,60.0,This Month,Monthly,5.8,No_Overlap,Yes,41.8,6.8,50.2,0.79
SMMS00018,DWNZ-OVRP,DWNZ,OVRP,63.08,Southern Railway,Salem,Level Crossing Interlocking,LC Gate Interlocking Fault,High,Signal Failure Alarm,AC (25kV Signalling),RRI,Down,13-07-2026,12-09-2026,13-09-2026,15-09-2026,7.3,6.8,30,24.1,12-09-2025,30,1,22,Trunk,11.48,False,False,47.9,This Week,Weekly,6.8,No_Overlap,No,67.3,7.3,68.3,0.78
SMMS00019,NJP-AHBT,NJP,AHBT,23.95,South Central Railway,Guntakal,Electronic Interlocking,Software/Data Fault,Medium,Preventive Test,AC (25kV Signalling),SSI,Degraded,17-08-2026,07-09-2026,07-09-2026,10-09-2026,4.2,5.3,0,13.7,08-08-2025,15,2,16,Trunk,10.29,False,True,56.6,This Month,Monthly,5.3,No_Overlap,Yes,39.3,4.2,48.7,0.91
SMMS00020,VXC-IL,VXC,IL,1.84,Western Railway,Ratlam,Relay Interlocking,Relay Contact Failure,Low,Signal Failure Alarm,AC (25kV Signalling),EI,Normal,19-09-2025,09-09-2026,09-09-2026,14-09-2026,2.7,3.3,90,17.1,07-05-2026,30,3,7,Trunk,7.61,False,False,30.5,This Week,Weekly,3.3,No_Overlap,No,56.0,2.7,60.1,0.9
SMMS00021,MY-LKWI,MY,LKWI,5.53,South Central Railway,Guntur,Level Crossing Interlocking,LC Gate Interlocking Fault,Low,Signal Failure Alarm,AC (25kV Signalling),PI,Down,06-07-2026,12-09-2026,12-09-2026,17-09-2026,2.1,3.0,13,10.5,20-01-2026,90,1,22,Branch,17.82,True,False,54.8,This Month,Monthly,3.0,Same_Division_Overlap,No,40.1,2.1,33.9,0.68
SMMS00022,ZXAI-BGH,ZXAI,BGH,39.68,South Eastern Railway,Chakradharpur,Relay Interlocking,Relay Contact Failure,Medium,Preventive Test,AC (25kV Signalling),EI,Normal,20-01-2026,13-09-2026,13-09-2026,16-09-2026,3.2,3.8,60,3.8,03-04-2026,30,0,16,Trunk,1.87,False,False,38.7,This Month,Monthly,3.8,No_Overlap,No,53.3,3.2,57.1,0.74
SMMS00023,WTGXE-MN,WTGXE,MN,15.77,Eastern Railway,Howrah,Track Circuit,Low Voltage/Shunt Fault,Low,Signal Failure Alarm,IPS (Integrated Power Supply),PI,Normal,02-10-2025,13-09-2026,14-09-2026,19-09-2026,2.5,2.3,90,13.5,04-07-2026,90,2,16,Trunk,16.52,False,True,41.6,This Month,Monthly,2.3,Same_Division_Overlap,No,48.5,2.5,58.8,0.75
SMMS00024,BADDI-WU,BADDI,WU,71.05,Northern Railway,Lucknow,Electronic Interlocking,EI Card Failure,Low,Preventive Test,DC,EI,Normal,24-02-2026,16-09-2026,16-09-2026,21-09-2026,3.5,4.2,90,5.7,26-11-2025,90,1,19,Trunk,3.21,False,False,21.5,This Month,Monthly,4.2,No_Overlap,No,46.1,3.5,34.0,0.63
SMMS00025,IIL-BPH,IIL,BPH,38.41,Northern Railway,Delhi,Electronic Interlocking,EI Card Failure,Medium,Datalogger Analysis,AC (25kV Signalling),RRI,Normal,02-08-2026,04-09-2026,05-09-2026,08-09-2026,2.7,2.4,10,19.9,07-11-2025,15,5,19,Branch,11.62,False,False,27.6,This Month,Monthly,2.4,No_Overlap,No,44.3,2.7,39.3,0.95
SMMS00026,NAK-NCJ,NAK,NCJ,28.36,Eastern Railway,Asansol,Block Instrument,Block Instrument Failure,Critical,Visual Inspection,IPS (Integrated Power Supply),RRI,Normal,08-06-2026,08-09-2026,09-09-2026,10-09-2026,12.1,9.6,10,19.3,30-06-2026,30,1,11,Branch,3.06,False,False,39.1,Immediate,Weekly,9.6,No_Overlap,No,56.1,12.1,60.9,0.83
SMMS00027,ZGW-VK,ZGW,VK,10.5,Eastern Railway,Howrah,Relay Interlocking,Relay Contact Failure,Medium,Visual Inspection,DC,EI,Degraded,24-07-2026,05-09-2026,05-09-2026,08-09-2026,4.7,6.0,19,15.7,22-05-2026,15,0,18,Trunk,5.49,False,False,28.2,This Month,Monthly,6.0,No_Overlap,No,50.6,4.7,48.5,0.72
SMMS00028,IQPJA-GCCSQ,IQPJA,GCCSQ,95.3,Southern Railway,Tiruchirapalli,Point Machine,Locking Fault,Medium,Datalogger Analysis,AC (25kV Signalling),PI,Normal,04-08-2025,08-09-2026,08-09-2026,11-09-2026,3.8,4.8,60,1.3,29-09-2025,30,1,14,Branch,14.65,False,False,36.6,This Month,Monthly,4.8,Cross_Division_Overlap,No,42.6,3.8,38.4,0.75
SMMS00029,RA-YYMD,RA,YYMD,98.49,South Central Railway,Guntakal,Point Machine,Point Machine Failure,High,Datalogger Analysis,IPS (Integrated Power Supply),SSI,Degraded,11-04-2026,14-09-2026,14-09-2026,16-09-2026,5.7,6.3,30,17.4,29-03-2026,15,1,20,Branch,2.39,False,True,67.4,This Month,Monthly,6.3,No_Overlap,Yes,53.9,5.7,40.0,0.76
SMMS00030,YYUKY-GZPBB,YYUKY,GZPBB,50.15,Northern Railway,Lucknow,Block Instrument,Token Fault,Low,Signal Failure Alarm,IPS (Integrated Power Supply),EI,Normal,11-04-2026,05-09-2026,05-09-2026,10-09-2026,3.8,3.9,90,6.6,12-02-2026,15,2,9,Branch,9.86,False,False,30.1,This Month,Monthly,3.9,No_Overlap,No,46.3,3.8,52.1,0.91
SMMS00031,BTRQX-ZZ,BTRQX,ZZ,115.31,Northern Railway,Ambala,Axle Counter,Axle Counter Malfunction,Critical,Visual Inspection,AC (25kV Signalling),PI,Normal,20-12-2025,11-09-2026,12-09-2026,13-09-2026,11.0,9.5,10,8.7,11-10-2025,180,2,8,Trunk,18.77,False,False,32.9,Immediate,Weekly,9.5,No_Overlap,No,56.2,11.0,49.4,0.8
SMMS00032,QAJ-RKSM,QAJ,RKSM,52.24,Southern Railway,Chennai,Signal Cable/Data Logger,Data Logger Fault,High,Preventive Test,IPS (Integrated Power Supply),RRI,Degraded,25-11-2025,07-09-2026,08-09-2026,10-09-2026,7.7,6.9,30,22.1,31-01-2026,15,2,21,Trunk,12.33,True,False,63.6,This Week,Weekly,6.9,No_Overlap,Yes,62.4,7.7,61.0,0.79
SMMS00033,RLM-SN,RLM,SN,87.9,Central Railway,Pune,Point Machine,Locking Fault,Low,Visual Inspection,AC (25kV Signalling),EI,Normal,15-02-2026,11-09-2026,11-09-2026,16-09-2026,3.1,3.1,90,2.1,11-04-2026,30,1,15,Branch,5.86,False,False,15.9,This Month,Monthly,3.1,No_Overlap,No,43.7,3.1,47.0,0.55
SMMS00034,UGY-CK,UGY,CK,71.04,South Eastern Railway,Ranchi,Signal Cable/Data Logger,Data Logger Fault,Medium,Signal Failure Alarm,DC,SSI,Normal,12-01-2026,15-09-2026,16-09-2026,19-09-2026,7.1,5.9,60,9.8,07-01-2026,90,2,20,Trunk,12.89,False,False,23.2,This Week,Weekly,5.9,No_Overlap,No,56.3,7.1,56.5,0.67
SMMS00035,WEX-TC,WEX,TC,37.75,Northern Railway,Delhi,Signal Cable/Data Logger,Cable Insulation Fault,High,Preventive Test,IPS (Integrated Power Supply),RRI,Normal,04-03-2026,10-09-2026,10-09-2026,12-09-2026,5.4,6.6,30,23.8,11-02-2026,180,4,15,Trunk,11.52,False,False,33.5,This Week,Weekly,6.6,Same_Division_Overlap,No,66.8,5.4,54.4,0.67
SMMS00036,BGP-HUELJ,BGP,HUELJ,90.77,Northern Railway,Ambala,Electronic Interlocking,EI Card Failure,Medium,Signal Failure Alarm,AC (25kV Signalling),RRI,Down,12-07-2025,04-09-2026,04-09-2026,07-09-2026,4.7,6.0,60,23.0,14-09-2025,90,1,14,Branch,2.82,False,False,38.8,This Week,Weekly,6.0,No_Overlap,No,57.2,4.7,57.6,0.7
SMMS00037,XSWO-QCJME,XSWO,QCJME,86.59,South Eastern Railway,Adra,Track Circuit,Low Voltage/Shunt Fault,Medium,Datalogger Analysis,DC,PI,Normal,18-09-2025,14-09-2026,15-09-2026,18-09-2026,3.0,2.5,60,4.1,31-07-2026,15,3,15,Branch,14.21,False,False,34.7,This Month,Monthly,2.5,No_Overlap,No,42.0,3.0,31.7,0.83
SMMS00038,AYSK-ZAVO,AYSK,ZAVO,105.16,Eastern Railway,Sealdah,Axle Counter,Reset Failure,Medium,Signal Failure Alarm,DC,PI,Normal,30-06-2026,14-09-2026,14-09-2026,17-09-2026,3.8,4.2,43,17.7,08-04-2026,15,1,5,Trunk,11.22,False,True,65.6,This Month,Monthly,4.2,Cross_Division_Overlap,Yes,46.7,3.8,53.7,0.71
SMMS00039,ZJT-HOAZY,ZJT,HOAZY,40.43,South Central Railway,Secunderabad,Track Circuit,Rail Bonding Fault,High,Visual Inspection,AC (25kV Signalling),EI,Down,07-03-2026,07-09-2026,07-09-2026,09-09-2026,5.6,7.7,30,1.8,02-09-2025,30,2,5,Trunk,12.47,False,True,58.1,This Month,Monthly,7.7,No_Overlap,Yes,50.3,5.6,58.8,0.69
SMMS00040,GYXB-TPM,GYXB,TPM,63.28,Eastern Railway,Sealdah,Signal Cable/Data Logger,Power Supply Fault,Critical,Preventive Test,IPS (Integrated Power Supply),RRI,Normal,06-04-2026,16-09-2026,17-09-2026,18-09-2026,9.7,7.6,10,23.2,31-05-2026,15,7,5,Trunk,10.8,False,True,62.8,Immediate,Weekly,7.6,No_Overlap,Yes,69.7,9.7,63.1,0.87
SMMS00041,TCGR-IIA,TCGR,IIA,32.5,South Central Railway,Secunderabad,Level Crossing Interlocking,LC Gate Interlocking Fault,Low,Signal Failure Alarm,IPS (Integrated Power Supply),EI,Degraded,17-07-2026,13-09-2026,13-09-2026,18-09-2026,3.8,5.4,2,8.8,22-04-2026,30,0,12,Branch,7.24,False,False,19.2,Programmed,Monthly,5.4,No_Overlap,No,20.1,3.8,21.3,0.84
SMMS00042,EWDAB-VDXJ,EWDAB,VDXJ,4.16,Southern Railway,Palakkad,Point Machine,Locking Fault,Medium,Preventive Test,IPS (Integrated Power Supply),PI,Normal,17-04-2026,09-09-2026,10-09-2026,13-09-2026,6.9,5.4,60,24.4,05-06-2026,15,1,8,Trunk,1.18,False,False,37.9,This Week,Weekly,5.4,Same_Division_Overlap,No,60.8,6.9,59.8,0.64
SMMS00043,FEUW-QBRGF,FEUW,QBRGF,9.39,Eastern Railway,Sealdah,Signal Cable/Data Logger,Data Logger Fault,Low,Preventive Test,AC (25kV Signalling),SSI,Down,09-04-2026,04-09-2026,04-09-2026,09-09-2026,1.7,1.7,90,23.5,12-06-2026,15,3,8,Trunk,19.93,True,False,47.4,This Week,Weekly,1.7,No_Overlap,No,61.5,1.7,58.9,0.8
SMMS00044,LAHKG-MNLT,LAHKG,MNLT,35.66,Southern Railway,Palakkad,Relay Interlocking,Cable Fault,Critical,Preventive Test,IPS (Integrated Power Supply),PI,Normal,25-08-2025,05-09-2026,06-09-2026,07-09-2026,8.6,8.1,10,24.4,29-10-2025,30,5,17,Trunk,16.46,False,False,44.1,Immediate,Weekly,8.1,Same_Division_Overlap,No,68.0,8.6,70.3,0.81
SMMS00045,MQFG-XP,MQFG,XP,67.86,South Eastern Railway,Ranchi,Track Circuit,Track Circuit Failure,Critical,Signal Failure Alarm,DC,SSI,Normal,15-05-2026,12-09-2026,13-09-2026,14-09-2026,9.2,8.1,10,13.3,23-01-2026,30,1,17,Branch,19.13,True,False,69.1,Immediate,Weekly,8.1,No_Overlap,Yes,57.2,9.2,59.9,0.78
SMMS00046,UW-YMAY,UW,YMAY,116.92,Northern Railway,Lucknow,Relay Interlocking,Relay Contact Failure,Medium,Datalogger Analysis,IPS (Integrated Power Supply),EI,Normal,16-12-2025,06-09-2026,06-09-2026,09-09-2026,5.5,6.9,60,8.7,22-01-2026,90,2,18,Branch,18.2,False,False,37.2,This Month,Monthly,6.9,Same_Division_Overlap,No,45.5,5.5,46.8,0.81
SMMS00047,DIAKH-FMSL,DIAKH,FMSL,111.57,Northern Railway,Ferozpur,Track Circuit,Rail Bonding Fault,Critical,Visual Inspection,DC,RRI,Normal,30-04-2026,09-09-2026,09-09-2026,10-09-2026,8.2,8.8,10,15.2,01-01-2026,30,2,12,Trunk,9.89,False,False,41.5,Immediate,Weekly,8.8,No_Overlap,No,61.5,8.2,46.7,0.87
SMMS00048,JCVNS-CDT,JCVNS,CDT,36.05,Western Railway,Rajkot,Point Machine,Locking Fault,Medium,Signal Failure Alarm,DC,RRI,Normal,01-11-2025,07-09-2026,07-09-2026,10-09-2026,5.7,6.5,60,2.8,19-09-2025,180,1,22,Trunk,19.45,True,True,77.1,This Month,Monthly,6.5,No_Overlap,Yes,51.7,5.7,48.9,0.6
SMMS00049,HP-NF,HP,NF,70.56,South Eastern Railway,Chakradharpur,Point Machine,Point Machine Failure,Critical,Preventive Test,AC (25kV Signalling),EI,Normal,01-08-2025,09-09-2026,10-09-2026,11-09-2026,7.3,6.8,10,5.1,26-10-2025,30,0,1,Trunk,11.16,False,False,39.4,Immediate,Weekly,6.8,No_Overlap,No,51.5,7.3,53.3,0.71
SMMS00050,GASBT-RFQ,GASBT,RFQ,90.25,South Eastern Railway,Ranchi,Point Machine,Locking Fault,High,Datalogger Analysis,DC,PI,Down,31-07-2026,06-09-2026,06-09-2026,08-09-2026,4.1,4.4,26,10.7,05-03-2026,90,2,22,Trunk,6.61,False,False,38.1,This Week,Weekly,4.4,No_Overlap,No,61.9,4.1,62.1,0.71
SMMS00051,CWYC-JAQNY,CWYC,JAQNY,74.84,Western Railway,Ratlam,Point Machine,Point Machine Failure,Medium,Preventive Test,AC (25kV Signalling),RRI,Normal,06-01-2026,09-09-2026,10-09-2026,13-09-2026,7.7,6.5,60,6.3,18-10-2025,15,1,9,Trunk,5.47,True,False,57.7,This Month,Monthly,6.5,No_Overlap,Yes,48.4,7.7,45.0,0.5
SMMS00052,SOQ-KDZ,SOQ,KDZ,26.22,Eastern Railway,Howrah,Level Crossing Interlocking,LC Gate Interlocking Fault,Medium,Datalogger Analysis,DC,PI,Normal,10-06-2026,09-09-2026,09-09-2026,12-09-2026,5.0,6.0,60,8.8,21-04-2026,15,2,23,Branch,7.5,False,False,38.4,This Week,Weekly,6.0,No_Overlap,No,55.0,5.0,48.9,0.91
SMMS00053,LFCW-GPVU,LFCW,GPVU,63.82,South Eastern Railway,Kharagpur,Track Circuit,Track Circuit Failure,High,Visual Inspection,AC (25kV Signalling),PI,Degraded,23-01-2026,10-09-2026,11-09-2026,13-09-2026,6.8,5.8,30,19.5,20-10-2025,15,1,10,Trunk,17.62,False,False,39.4,This Month,Monthly,5.8,No_Overlap,No,53.7,6.8,59.6,0.68
SMMS00054,DCJUS-SXVMM,DCJUS,SXVMM,61.49,Western Railway,Ahmedabad,Axle Counter,Axle Counter Malfunction,Low,Preventive Test,DC,PI,Normal,13-07-2026,05-09-2026,06-09-2026,11-09-2026,5.6,5.5,6,17.4,27-05-2026,30,2,16,Trunk,3.27,False,False,25.8,Programmed,Monthly,5.5,No_Overlap,No,27.9,5.6,25.5,0.9
SMMS00055,SG-XR,SG,XR,10.11,Eastern Railway,Asansol,Electronic Interlocking,Software/Data Fault,High,Visual Inspection,IPS (Integrated Power Supply),EI,Normal,23-12-2025,07-09-2026,07-09-2026,09-09-2026,4.7,5.8,30,17.8,06-04-2026,30,3,1,Trunk,15.69,False,False,47.8,This Month,Monthly,5.8,No_Overlap,No,53.7,4.7,49.6,0.8
SMMS00056,SNW-CI,SNW,CI,111.14,Western Railway,Mumbai Central,Level Crossing Interlocking,LC Gate Interlocking Fault,Medium,Signal Failure Alarm,DC,EI,Normal,07-01-2026,06-09-2026,07-09-2026,10-09-2026,7.6,7.2,60,11.6,05-07-2026,15,0,24,Trunk,18.56,False,True,59.0,This Month,Monthly,7.2,No_Overlap,Yes,50.2,7.6,45.1,0.75
SMMS00057,NFX-UBM,NFX,UBM,24.93,South Eastern Railway,Kharagpur,Signal Cable/Data Logger,Power Supply Fault,Low,Signal Failure Alarm,AC (25kV Signalling),PI,Normal,02-11-2025,04-09-2026,04-09-2026,09-09-2026,1.9,2.1,90,22.2,01-12-2025,30,2,6,Trunk,3.97,False,False,32.7,This Week,Weekly,2.1,No_Overlap,No,57.0,1.9,46.8,0.86
SMMS00058,YFQDY-LY,YFQDY,LY,54.77,Western Railway,Ahmedabad,Level Crossing Interlocking,LC Gate Interlocking Fault,Medium,Datalogger Analysis,DC,PI,Normal,12-04-2026,07-09-2026,07-09-2026,10-09-2026,2.8,4.0,60,10.9,02-09-2025,15,2,11,Trunk,13.71,False,True,56.5,This Month,Monthly,4.0,No_Overlap,Yes,52.4,2.8,51.5,0.89
SMMS00059,MDEE-HJL,MDEE,HJL,9.67,South Eastern Railway,Ranchi,Block Instrument,Communication Loss,Critical,Preventive Test,IPS (Integrated Power Supply),EI,Normal,08-02-2026,14-09-2026,15-09-2026,16-09-2026,7.7,7.3,10,24.8,22-02-2026,15,1,24,Trunk,1.66,False,False,50.6,Immediate,Weekly,7.3,Cross_Division_Overlap,No,67.9,7.7,77.7,0.77
SMMS00060,MW-XPGIP,MW,XPGIP,82.57,Western Railway,Ratlam,Track Circuit,Low Voltage/Shunt Fault,High,Visual Inspection,DC,RRI,Normal,13-07-2026,16-09-2026,17-09-2026,19-09-2026,9.3,7.7,30,16.1,02-04-2026,30,3,2,Trunk,4.04,False,False,43.1,This Week,Weekly,7.7,No_Overlap,No,56.3,9.3,56.7,0.75
SMMS00061,IQK-JZTDR,IQK,JZTDR,69.08,Eastern Railway,Sealdah,Track Circuit,Track Circuit Failure,High,Preventive Test,IPS (Integrated Power Supply),SSI,Normal,28-07-2025,05-09-2026,05-09-2026,07-09-2026,5.4,6.9,30,20.6,23-12-2025,15,3,22,Trunk,10.25,False,False,49.6,This Week,Weekly,6.9,No_Overlap,No,55.4,5.4,60.9,0.74
SMMS00062,KHQGI-BLBCJ,KHQGI,BLBCJ,16.44,Central Railway,Solapur,Relay Interlocking,Interlocking Logic Fault,Low,Preventive Test,AC (25kV Signalling),RRI,Degraded,08-11-2025,03-09-2026,04-09-2026,09-09-2026,6.1,5.4,90,7.6,01-07-2026,30,1,1,Trunk,19.35,False,True,47.1,This Month,Monthly,5.4,No_Overlap,No,51.5,6.1,55.5,0.64
SMMS00063,SROLU-FJOCP,SROLU,FJOCP,33.83,Eastern Railway,Sealdah,Electronic Interlocking,Object Controller Fault,Medium,Signal Failure Alarm,DC,RRI,Degraded,24-11-2025,15-09-2026,16-09-2026,19-09-2026,4.5,4.3,60,21.6,15-08-2025,90,0,18,Trunk,5.47,True,False,61.2,This Week,Weekly,4.3,Cross_Division_Overlap,Yes,60.3,4.5,70.5,0.71
SMMS00064,CRT-TOBTX,CRT,TOBTX,51.28,South Eastern Railway,Adra,Block Instrument,Communication Loss,High,Signal Failure Alarm,AC (25kV Signalling),RRI,Normal,03-11-2025,13-09-2026,13-09-2026,15-09-2026,5.9,6.6,30,21.3,24-10-2025,90,4,4,Branch,14.7,True,False,55.7,This Month,Monthly,6.6,No_Overlap,Yes,49.2,5.9,48.0,0.74
SMMS00065,PI-LZDX,PI,LZDX,55.02,Eastern Railway,Sealdah,Track Circuit,Track Circuit Failure,Medium,Signal Failure Alarm,AC (25kV Signalling),PI,Normal,03-08-2025,04-09-2026,04-09-2026,07-09-2026,2.4,3.4,60,9.5,18-01-2026,30,0,9,Trunk,7.94,False,False,41.0,This Month,Monthly,3.4,Same_Division_Overlap,No,48.6,2.4,44.4,0.79
